Indexes,Urls
0,https://www.urdupoint.com/kids/detail/moral-stories/purisrar-boorha-2919.html
1,https://www.urdupoint.com/kids/detail/moral-stories/naya-azm-2918.html
2,https://www.urdupoint.com/kids/detail/moral-stories/ghar-mein-mujrim-2917.html
3,https://www.urdupoint.com/kids/detail/moral-stories/jannat-ka-rasta-2916.html
4,https://www.urdupoint.com/kids/detail/moral-stories/bhooton-ka-naam-2915.html
5,https://www.urdupoint.com/kids/detail/moral-stories/imandari-ka-inaam-2914.html
6,https://www.urdupoint.com/kids/detail/moral-stories/reham-ka-sila-2913.html
7,https://www.urdupoint.com/kids/detail/moral-stories/hiran-ki-laparwahi-2911.html
8,https://www.urdupoint.com/kids/detail/moral-stories/himmat-2910.html
9,https://www.urdupoint.com/kids/detail/moral-stories/karo-meharbani-tum-ahle-zameen-par-2909.html
10,https://www.urdupoint.com/kids/detail/moral-stories/panda-aur-smart-phone-2908.html
11,https://www.urdupoint.com/kids/detail/moral-stories/qalam-ki-khwahish-2907.html
12,https://www.urdupoint.com/kids/detail/moral-stories/anmol-dosti-2906.html
13,https://www.urdupoint.com/kids/detail/moral-stories/nani-ka-saman-2905.html
14,https://www.urdupoint.com/kids/detail/moral-stories/khali-pinjra-2904.html
15,https://www.urdupoint.com/kids/detail/moral-stories/taqatwar-bewaqoof-2903.html
16,https://www.urdupoint.com/kids/detail/moral-stories/lakarhare-ka-beta-2902.html
17,https://www.urdupoint.com/kids/detail/moral-stories/azhdahe-ka-wada-2900.html
18,https://www.urdupoint.com/kids/detail/moral-stories/yeh-bakra-kis-ka-hai-2899.html
19,https://www.urdupoint.com/kids/detail/moral-stories/naiki-ka-sila-2898.html
20,https://www.urdupoint.com/kids/detail/moral-stories/lagan-2897.html
21,https://www.urdupoint.com/kids/detail/moral-stories/pari-ki-mamta-2896.html
22,https://www.urdupoint.com/kids/detail/moral-stories/ilm-ki-inteha-jahalat-hai-2895.html
